s1,s2,s3,s4,s5
84,93,89,81,88
96,85,97,91,93
89,82,89,98,82
89,95,92,97,89
97,85,83,91,93
82,85,97,80,97
96,80,84,80,87
88,89,92,94,93
81,88,98,96,89
91,80,95,85,87
99,96,90,92,90
92,91,85,85,92
95,86,97,86,86
84,98,93,84,81
92,95,96,96,81
80,93,83,87,92
83,84,87,83,82
96,89,90,85,83
88,98,93,84,95
92,90,81,80,90
97,87,87,89,91
84,84,88,94,86
81,99,80,97,81
93,84,90,94,80
87,93,99,90,99
89,91,97,88,80
95,86,90,81,87
84,86,84,86,83
98,88,85,91,83
97,89,82,89,90
84,94,94,97,81
85,88,81,85,84
89,91,86,87,93
87,98,91,88,98
81,85,81,80,81
87,90,92,93,82
81,95,87,90,88
98,94,85,98,93
84,96,85,91,80
99,94,83,98,82
90,81,98,92,84
89,95,96,96,96
92,99,90,96,98
91,95,89,86,95
80,93,82,95,92
89,93,89,96,98
89,81,81,97,80
80,80,85,88,99
87,83,95,88,99
96,87,92,96,91
89,98,99,82,98
85,81,85,93,87
81,84,84,88,92
87,88,87,84,82
92,83,83,82,88
98,91,93,86,90
96,97,89,83,89
92,91,98,82,87
94,97,82,86,91
89,83,83,80,85
89,98,90,98,81
85,92,82,88,83
81,80,84,88,88
82,89,90,98,85
83,85,99,96,90
87,97,82,92,87
95,92,83,80,85
93,87,89,99,85
93,80,95,95,95
83,85,88,89,91
92,90,93,90,87
88,80,96,87,87
81,86,93,81,90
94,91,99,88,82
94,83,82,83,85
80,85,93,84,98
80,84,84,93,80
97,84,96,92,96
90,88,86,89,86
82,92,96,90,86
94,97,96,94,98
89,90,95,98,81
86,88,83,80,89
93,96,93,92,89
90,80,81,95,82
83,93,89,94,92
81,82,92,84,93
94,93,83,87,90
85,96,81,84,99
83,87,96,83,92
99,90,84,82,86
88,89,93,94,81
80,86,80,99,98
95,90,87,87,93
86,89,81,98,95
82,98,93,95,87
98,94,84,87,83
90,97,87,86,84
98,98,84,83,93
92,88,91,90,90
91,82,89,95,80
85,88,96,98,99
99,96,86,99,98
82,85,94,82,92
98,94,99,86,89
98,82,82,99,82
91,98,93,92,90
96,98,94,99,81
90,84,87,93,82
96,89,86,83,83
90,82,84,82,89
90,83,87,81,92
86,89,92,97,98
90,91,96,93,86
83,96,81,83,94
93,86,96,86,91
83,94,87,96,94
81,90,97,98,94
83,90,93,83,95
93,82,95,82,95
96,97,98,85,88
98,85,88,80,92
95,99,81,93,95
87,93,94,95,89
98,93,87,85,86
94,94,98,89,94
86,89,93,96,94
81,87,97,97,96
90,80,81,97,85
98,97,99,84,95
92,80,98,89,80
96,83,80,93,84
84,98,90,89,88
99,82,80,97,97
97,97,82,95,83
97,82,86,83,83
86,82,95,98,92
90,84,85,84,99
94,87,83,97,94
83,86,93,84,97
96,91,99,90,96
91,86,90,99,82
91,87,80,95,84
82,98,83,90,92
85,82,88,97,95
98,87,88,81,88
89,87,88,98,80
98,92,87,90,94
91,91,95,82,98
87,92,99,89,87
89,88,91,80,92
88,86,93,81,82
84,96,95,98,93
81,94,99,85,87
97,83,81,90,92
96,97,84,88,96
99,90,84,89,85
86,83,96,99,84
90,93,85,87,92
84,82,97,84,81
99,97,83,86,95
90,95,99,83,88
89,84,92,89,89
88,85,86,87,86
82,81,80,82,82
99,89,87,98,87
86,98,91,89,81
99,90,96,94,85
97,93,92,98,97
81,87,83,93,81
85,80,93,88,81
92,87,84,94,98
95,84,89,82,86
88,82,82,83,84
82,87,91,98,81
98,80,98,96,90
98,82,87,84,98
90,85,83,80,99
83,84,92,87,95
83,87,91,92,93
89,99,86,97,86
86,87,96,87,98
99,86,80,91,82
83,97,91,80,95
93,82,91,82,86
97,91,90,85,96
85,87,98,98,87
99,92,89,85,97
81,93,94,85,87
81,87,94,89,89
83,97,92,91,86
98,81,98,97,81
85,87,94,91,94
89,96,88,88,84
82,99,96,89,88
84,87,94,92,98
99,95,94,97,96
82,93,99,93,98
92,84,81,92,85
92,92,89,91,96
84,80,90,92,95
